;p_uf;p_pu;p_up;p_fl;p_lu;Run;followers;leaders;pheromone;unassigned
9923;0.49755859375;0.44189453125;0.28564453125;0.65283203125;0.89501953125;9923;0;0;0;110
9924;0.30126953125;0.85791015625;0.37255859375;0.52685546875;0.34521484375;9924;0;0;0;110
9925;0.99755859375;0.85791015625;0.37255859375;0.52685546875;0.34521484375;9925;0;0;0;110
9926;0.30126953125;0.94189453125;0.37255859375;0.52685546875;0.34521484375;9926;0;0;0;110
9927;0.30126953125;0.85791015625;0.78564453125;0.52685546875;0.34521484375;9927;0;0;0;110
9928;0.30126953125;0.85791015625;0.37255859375;0.15283203125;0.34521484375;9928;0;0;0;110
9929;0.30126953125;0.85791015625;0.37255859375;0.52685546875;0.39501953125;9929;0;0;0;110
9930;0.30126953125;0.94189453125;0.78564453125;0.15283203125;0.39501953125;9930;0;0;0;110
9931;0.99755859375;0.85791015625;0.78564453125;0.15283203125;0.39501953125;9931;0;0;0;110
9932;0.99755859375;0.94189453125;0.37255859375;0.15283203125;0.39501953125;9932;0;0;0;110
9933;0.99755859375;0.94189453125;0.78564453125;0.52685546875;0.39501953125;9933;0;0;0;110
9934;0.99755859375;0.94189453125;0.78564453125;0.15283203125;0.34521484375;9934;0;0;0;110
9935;0.99755859375;0.94189453125;0.78564453125;0.15283203125;0.39501953125;9935;0;0;0;110
9936;0.42626953125;0.48291015625;0.24755859375;0.65185546875;0.47021484375;9936;0;0;0;110
9937;0.62255859375;0.48291015625;0.24755859375;0.65185546875;0.47021484375;9937;0;0;0;110
9938;0.42626953125;0.31689453125;0.24755859375;0.65185546875;0.47021484375;9938;0;0;0;110
9939;0.42626953125;0.48291015625;0.41064453125;0.65185546875;0.47021484375;9939;0;0;0;110
9940;0.42626953125;0.48291015625;0.24755859375;0.52783203125;0.47021484375;9940;0;0;0;110
9941;0.42626953125;0.48291015625;0.24755859375;0.65185546875;0.52001953125;9941;0;0;0;110
9942;0.42626953125;0.31689453125;0.41064453125;0.52783203125;0.52001953125;9942;0;0;0;110
9943;0.62255859375;0.48291015625;0.41064453125;0.52783203125;0.52001953125;9943;0;0;0;110
9944;0.62255859375;0.31689453125;0.24755859375;0.52783203125;0.52001953125;9944;0;0;0;110
9945;0.62255859375;0.31689453125;0.41064453125;0.65185546875;0.52001953125;9945;0;0;0;110
9946;0.62255859375;0.31689453125;0.41064453125;0.52783203125;0.47021484375;9946;0;0;0;110
9947;0.62255859375;0.31689453125;0.41064453125;0.52783203125;0.52001953125;9947;0;0;0;110
9948;0.92626953125;0.98291015625;0.74755859375;0.15185546875;0.97021484375;9948;0;0;0;110
9949;0.12255859375;0.98291015625;0.74755859375;0.15185546875;0.97021484375;9949;0;0;0;110
9950;0.92626953125;0.81689453125;0.74755859375;0.15185546875;0.97021484375;9950;0;0;0;110
9951;0.92626953125;0.98291015625;0.91064453125;0.15185546875;0.97021484375;9951;0;0;0;110
9952;0.92626953125;0.98291015625;0.74755859375;0.02783203125;0.97021484375;9952;0;0;0;110
9953;0.92626953125;0.98291015625;0.74755859375;0.15185546875;0.02001953125;9953;12;95;0;3
9954;0.92626953125;0.81689453125;0.91064453125;0.02783203125;0.02001953125;9954;46;59;0;5
9955;0.12255859375;0.98291015625;0.91064453125;0.02783203125;0.02001953125;9955;26;34;0;50
9956;0.12255859375;0.81689453125;0.74755859375;0.02783203125;0.02001953125;9956;0;0;0;110
9957;0.12255859375;0.81689453125;0.91064453125;0.15185546875;0.02001953125;9957;9;69;0;32
9958;0.12255859375;0.81689453125;0.91064453125;0.02783203125;0.97021484375;9958;0;0;0;110
9959;0.12255859375;0.81689453125;0.91064453125;0.02783203125;0.02001953125;9959;31;34;0;45
9960;0.67626953125;0.23291015625;0.49755859375;0.90185546875;0.72021484375;9960;0;0;0;110
9961;0.37255859375;0.23291015625;0.49755859375;0.90185546875;0.72021484375;9961;0;0;0;110
9962;0.67626953125;0.06689453125;0.49755859375;0.90185546875;0.72021484375;9962;0;0;64;46
9963;0.67626953125;0.23291015625;0.66064453125;0.90185546875;0.72021484375;9963;0;0;0;110
9964;0.67626953125;0.23291015625;0.49755859375;0.27783203125;0.72021484375;9964;0;0;0;110
9965;0.67626953125;0.23291015625;0.49755859375;0.90185546875;0.27001953125;9965;0;0;0;110
9966;0.67626953125;0.06689453125;0.66064453125;0.27783203125;0.27001953125;9966;0;0;78;32
9967;0.37255859375;0.23291015625;0.66064453125;0.27783203125;0.27001953125;9967;0;0;0;110
9968;0.37255859375;0.06689453125;0.49755859375;0.27783203125;0.27001953125;9968;0;0;79;31
9969;0.37255859375;0.06689453125;0.66064453125;0.90185546875;0.27001953125;9969;0;0;81;29
9970;0.37255859375;0.06689453125;0.66064453125;0.27783203125;0.72021484375;9970;0;0;82;28
9971;0.37255859375;0.06689453125;0.66064453125;0.27783203125;0.27001953125;9971;0;0;75;35
9972;0.17626953125;0.73291015625;0.99755859375;0.40185546875;0.22021484375;9972;0;0;0;110
9973;0.87255859375;0.73291015625;0.99755859375;0.40185546875;0.22021484375;9973;0;0;0;110
9974;0.17626953125;0.56689453125;0.99755859375;0.40185546875;0.22021484375;9974;0;0;0;110
9975;0.17626953125;0.73291015625;0.16064453125;0.40185546875;0.22021484375;9975;0;0;0;110
9976;0.17626953125;0.73291015625;0.99755859375;0.77783203125;0.22021484375;9976;0;0;0;110
9977;0.17626953125;0.73291015625;0.99755859375;0.40185546875;0.77001953125;9977;0;0;0;110
9978;0.17626953125;0.56689453125;0.16064453125;0.77783203125;0.77001953125;9978;0;0;0;110
9979;0.87255859375;0.73291015625;0.16064453125;0.77783203125;0.77001953125;9979;0;0;0;110
9980;0.87255859375;0.56689453125;0.99755859375;0.77783203125;0.77001953125;9980;0;0;0;110
9981;0.87255859375;0.56689453125;0.16064453125;0.40185546875;0.77001953125;9981;0;0;0;110
9982;0.87255859375;0.56689453125;0.16064453125;0.77783203125;0.22021484375;9982;0;0;0;110
